Wohnort;Wohnort-Name;Arbeitsort;Arbeitsort-Name;Insgesamt;Männer;Frauen;Deutsche;"Ausländer + Sonstige";Auszubildende;
;;16051;Erfurt, Stadt;661;374;287;631;30;26;
;;16053;Jena, Stadt;1,262;658;604;1,237;25;34;
;;16055;Weimar, Stadt;114;64;50;107;7;3;
;;16056;Eisenach, Stadt;19;4;15;*;*;-;
;;16061;Eichsfeld;16;13;3;16;-;-;
;;16062;Nordhausen;13;*;*;*;*;-;
;;16063;Wartburgkreis;39;13;26;*;*;-;
;;16064;Unstrut-Hainich-Kreis;13;8;5;13;-;-;
;;16066;Schmalkalden-Meiningen;35;17;18;32;3;*;
;;16067;Gotha;31;25;6;*;*;*;
;;16068;Sömmerda;10;3;7;10;-;-;
;;16070;Ilm-Kreis;36;23;13;33;3;3;
;;16071;Weimarer Land;80;61;19;75;5;*;
;;16073;Saalfeld-Rudolstadt;90;64;26;86;4;5;
;;16074;Saale-Holzland-Kreis;1,668;1,016;652;1,629;39;74;
;;16075;Saale-Orla-Kreis;420;330;90;407;13;9;
;;16076;Greiz;3,497;2,284;1,213;3,423;74;114;
;;16077;Altenburger Land;677;487;190;663;14;17;
;;160;Übrige Kreise (Regierungsbezirk);25;16;9;21;4;3;
;;160;Thüringen;8,706;5,471;3,235;8,479;227;294;
;;16;Thüringen;8,706;5,471;3,235;8,479;227;294;
;;ZZ;Auspendler in das Bundesgebiet;13,725;8,971;4,754;13,174;551;428;
;;Z;Auspendler insgesamt;13,725;8,971;4,754;13,174;551;428;
16053;Jena, Stadt;;;;;;;;;
;;010;Schleswig-Holstein;34;28;6;*;*;-;
;;01;Schleswig-Holstein;34;28;6;*;*;-;
;;02000;Hamburg, Freie und Hansestadt;92;54;38;78;14;*;
;;020;Hamburg;92;54;38;78;14;*;
;;02;Hamburg;92;54;38;78;14;*;
;;03101;Braunschweig, Stadt;11;5;6;*;*;*;
;;03103;Wolfsburg, Stadt;12;8;4;12;-;-;
;;03159;Göttingen;31;22;9;27;4;*;
;;031;Übrige Kreise (Regierungsbezirk);14;11;3;*;*;*;
;;031;Statistische Region Braunschweig;68;46;22;61;7;4;
;;03241;Region Hannover;38;22;16;34;4;-;
;;032;Übrige Kreise (Regierungsbezirk);17;10;7;13;4;-;
;;032;Statistische Region Hannover;55;32;23;47;8;-;
;;033;Statistische Region Lüneburg;15;9;6;*;*;3;
;;03404;Osnabrück, Stadt;11;7;4;*;*;-;
;;034;Übrige Kreise (Regierungsbezirk);37;27;10;26;11;*;
;;034;Statistische Region Weser-Ems;48;34;14;35;13;*;
;;03;Niedersachsen;186;121;65;156;30;9;
;;04011;Bremen, Stadt;19;11;8;15;4;-;
;;040;Übrige Kreise (Regierungsbezirk);4;*;*;4;-;-;
;;040;Bremen;23;14;9;19;4;-;
;;04;Bremen;23;14;9;19;4;-;
;;05111;Düsseldorf, Stadt;34;18;16;19;15;-;
;;05113;Essen, Stadt;11;8;3;7;4;-;
;;05116;Mönchengladbach, Stadt;10;*;*;10;-;-;
;;05158;Mettmann;16;13;3;16;-;-;
